Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Quantity Limited Request ,00031,QRD,7,10,CQ,,0126,5.10.5.3.7
Who Subject Filter ,00032,QRD,8,250,XCN,Y,,5.10.5.3.8
What Subject Filter ,00033,QRD,9,250,CE,Y,0048,5.10.5.3.9
What Department Data Code ,00034,QRD,10,250,CE,Y,,5.10.5.3.1
What Data Code Value Qual. ,00035,QRD,11,20,VR,Y,,5.10.5.3.1
Query Results Level ,00036,QRD,12,1,ID,,0108,5.10.5.3.1
Where Subject Filter ,00037,QRF,1,20,ST,Y,,5.10.5.4.1
When Data Start Date/Time ,00038,QRF,2,26,TS,,,5.10.5.4.2
When Data End Date/Time ,00039,QRF,3,26,TS,,,5.10.5.4.3
What User Qualifier ,00040,QRF,4,60,ST,Y,,5.10.5.4.4
Other QRY Subject Filter ,00041,QRF,5,60,ST,Y,,5.10.5.4.5
Which Date/Time Qualifier ,00042,QRF,6,12,ID,Y,0156,5.10.5.4.6
Which Date/Time Status Qualifier ,00043,QRF,7,12,ID,Y,0157,5.10.5.4.7
Date/Time Selection Qualifier ,00044,QRF,8,12,ID,Y,0158,5.10.5.4.8
When Quantity/Timing Qualifier ,00694,QRF,9,60,TQ,,,5.10.5.4.9
Search Confidence Threshold ,01442,QRF,10,10,NM,,,5.10.5.4.1
Candidate Confidence ,01436,QRI,1,10,NM,,,5.5.5.1
Match Reason Code ,01437,QRI,2,2,IS,Y,0392,5.5.5.2
Algorithm Descriptor ,01438,QRI,3,250,CE,,0393,5.5.5.3
Query Priority ,00027,RCP,1,1,ID,,0091,5.5.6.1
Quantity Limited Request ,00031,RCP,2,10,CQ,,0126,5.5.6.2
Response Modality ,01440,RCP,3,250,CE,,0394,5.5.6.3
Execution and Delivery Time ,01441,RCP,4,26,TS,,,5.5.6.4
Modify Indicator ,01443,RCP,5,1,ID,,0395,5.5.6.5
Sort-by Field ,01624,RCP,6,512,SRT,Y,,5.5.6.6
Segment group inclusion ,01594,RCP,7,256,ID,Y,,5.5.6.7
Number of Columns per Row ,00701,RDF,1,3,NM,,,5.5.7.1
Column Description ,00702,RDF,2,40,RCD,Y,0440,5.5.7.2
Column Value ,00703,RDT,1,0,var,,,5.5.8.1.1
Referral Status ,01137,RF1,1,250,CE,,0283,11.6.1.1
Referral Priority ,01138,RF1,2,250,CE,,0280,11.6.1.2
Referral Type ,01139,RF1,3,250,CE,,0281,11.6.1.3
Referral Disposition ,01140,RF1,4,250,CE,Y,0282,11.6.1.4
Referral Category ,01141,RF1,5,250,CE,,0284,11.6.1.5
Originating Referral Identifier ,01142,RF1,6,30,EI,,,11.6.1.6
Effective Date ,01143,RF1,7,26,TS,,,11.6.1.7
Expiration Date ,01144,RF1,8,26,TS,,,11.6.1.8
Process Date ,01145,RF1,9,26,TS,,,11.6.1.9
Referral Reason ,01228,RF1,10,250,CE,Y,0336,11.6.1.10
External Referral Identifier ,01300,RF1,11,30,EI,Y,,11.6.1.11
Set ID - RGS ,01203,RGS,1,4,SI,,,10.6.3.1
Segment Action Code ,00763,RGS,2,3,ID,,0206,10.6.3.2
Resource Group ID ,01204,RGS,3,250,CE,,,10.6.3.3
Risk Management Incident Code ,01530,RMI,1,250,CE,,0427,6.5.14.1
Date/Time Incident ,01531,RMI,2,26,TS,,,6.5.14.2
Incident Type Code ,01533,RMI,3,250,CE,,0428,6.5.14.3
Role Instance ID ,01206,ROL,1,60,EI,,,15.4.7.1
Action Code ,00816,ROL,2,2,ID,,0287,15.4.7.2
Role-ROL ,01197,ROL,3,250,CE,,0443,15.4.7.3
Role Person ,01198,ROL,4,250,XCN,Y,,15.4.7.4
Role Begin Date/Time ,01199,ROL,5,26,TS,,,15.4.7.5
Role End Date/Time ,01200,ROL,6,26,TS,,,15.4.7.6
Role Duration ,01201,ROL,7,250,CE,,,15.4.7.7
Role Action Reason ,01205,ROL,8,250,CE,,,15.4.7.8
Provider Type ,01510,ROL,9,250,CE,Y,,15.4.7.9
Organization Unit Type ,01461,ROL,10,250,CE,,0406,15.4.7.10
Office/Home Address/Birthplace ,00679,ROL,11,250,XAD,Y,,15.4.7.11
Phone ,00678,ROL,12,250,XTN,Y,,15.4.7.12
Anticipated Price ,00285,RQ1,1,10,ST,,,4.11.2.1
Manufacturer Identifier ,00286,RQ1,2,250,CE,,0385,4.11.2.2
Manufacturer's Catalog ,00287,RQ1,3,16,ST,,,4.11.2.3
Vendor ID ,00288,RQ1,4,250,CE,,,4.11.2.4
Vendor Catalog ,00289,RQ1,5,16,ST,,,4.11.2.5
Taxable ,00290,RQ1,6,1,ID,,0136,4.11.2.6
Substitute Allowed ,00291,RQ1,7,1,ID,,0136,4.11.2.7
Requisition Line Number ,00275,RQD,1,4,SI,,,4.11.1.1
Item Code - Internal ,00276,RQD,2,250,CE,,,4.11.1.2
Item Code - External ,00277,RQD,3,250,CE,,,4.11.1.3
Hospital Item Code ,00278,RQD,4,250,CE,,,4.11.1.4
Requisition Quantity ,00279,RQD,5,6,NM,,,4.11.1.5
Requisition Unit of Measure ,00280,RQD,6,250,CE,,,4.11.1.6
Dept. Cost Center ,00281,RQD,7,30,IS,,0319,4.11.1.7
Item Natural Account Code ,00282,RQD,8,30,IS,,0320,4.11.1.8
Deliver To ID ,00283,RQD,9,250,CE,,,4.11.1.9
Date Needed ,00284,RQD,10,8,DT,,,4.11.1.10
Give Sub-ID Counter ,00342,RXA,1,4,NM,,,4.14.7.1
Administration Sub-ID Counter ,00344,RXA,2,4,NM,,,4.14.7.2
Date/Time Start of Administration ,00345,RXA,3,26,TS,,,4.14.7.3
Date/Time End of Administration ,00346,RXA,4,26,TS,,,4.14.7.4
Administered Code ,00347,RXA,5,250,CE,,0292,4.14.7.5
Administered Amount ,00348,RXA,6,20,NM,,,4.14.7.6
Administered Units ,00349,RXA,7,250,CE,,,4.14.7.7
Administered Dosage Form ,00350,RXA,8,250,CE,,,4.14.7.8
Administration Notes ,00351,RXA,9,250,CE,Y,,4.14.7.9
Administering Provider ,00352,RXA,10,250,XCN,Y,,4.14.7.10
Administered-at Location ,00353,RXA,11,200,LA2,,,4.14.7.11
Administered Per (Time Unit) ,00354,RXA,12,20,ST,,,4.14.7.12
Administered Strength ,01134,RXA,13,20,NM,,,4.14.7.13
Administered Strength Units ,01135,RXA,14,250,CE,,,4.14.7.14
Substance Lot Number ,01129,RXA,15,20,ST,Y,,4.14.7.15
Substance Expiration Date ,01130,RXA,16,26,TS,Y,,4.14.7.16
Substance Manufacturer Name ,01131,RXA,17,250,CE,Y,0227,4.14.7.17
Substance/Treatment Refusal Reason ,01136,RXA,18,250,CE,Y,,4.14.7.18
Indication ,01123,RXA,19,250,CE,Y,,4.14.7.19
Completion Status ,01223,RXA,20,2,ID,,0322,4.14.7.20
Action Code - RXA ,01224,RXA,21,2,ID,,0323,4.14.7.21
System Entry Date/Time ,01225,RXA,22,26,TS,,,4.14.7.22
Administered Drug Strength Volume ,01696,RXA,23,5,NM,,,4.14.7.23
Administered Drug Strength Volume Units ,01697,RXA,24,250,CWE,,,4.14.7.24
Administered Barcode Identifier ,01698,RXA,25,60,CWE,,,4.14.7.25
Pharmacy Order Type ,01699,RXA,26,1,ID,,0480,4.14.7.26
RX Component Type ,00313,RXC,1,1,ID,,0166,4.14.3.1
Component Code ,00314,RXC,2,250,CE,,,4.14.3.2
Component Amount ,00315,RXC,3,20,NM,,,4.14.3.3
Component Units ,00316,RXC,4,250,CE,,,4.14.3.4
Component Strength ,01124,RXC,5,20,NM,,,4.14.3.5
Component Strength Units ,01125,RXC,6,250,CE,,,4.14.3.6
Supplementary Code ,01476,RXC,7,250,CE,Y,,4.14.3.7
Component Drug Strength Volume ,01671,RXC,8,5,NM,,,4.14.3.8
Component Drug Strength Volume Units ,01672,RXC,9,250,CWE,,,4.14.3.9
Dispense Sub-ID Counter ,00334,RXD,1,4,NM,,,4.14.5.1
Dispense/Give Code ,00335,RXD,2,250,CE,,0292,4.14.5.2
Date/Time Dispensed ,00336,RXD,3,26,TS,,,4.14.5.3
Actual Dispense Amount ,00337,RXD,4,20,NM,,,4.14.5.4
Actual Dispense Units ,00338,RXD,5,250,CE,,,4.14.5.5
Actual Dosage Form ,00339,RXD,6,250,CE,,,4.14.5.6
Prescription Number ,00325,RXD,7,20,ST,,,4.14.5.7
Number of Refills Remaining ,00326,RXD,8,20,NM,,,4.14.5.8
Dispense Notes ,00340,RXD,9,200,ST,Y,,4.14.5.9
Dispensing Provider ,00341,RXD,10,200,XCN,Y,,4.14.5.10
Substitution Status ,00322,RXD,11,1,ID,,0167,4.14.5.11
Total Daily Dose ,00329,RXD,12,10,CQ,,,4.14.5.12
Dispense-to Location ,01303,RXD,13,200,LA2,,,4.14.5.13
Needs Human Review ,00307,RXD,14,1,ID,,0136,4.14.5.14
Pharmacy/Treatment Supplier's Special Dispensing Instructions,00330,RXD,15,250,CE,Y,,4.14.5.15
Actual Strength ,01132,RXD,16,20,NM,,,4.14.5.16
Actual Strength Unit ,01133,RXD,17,250,CE,,,4.14.5.17
Substance Lot Number ,01129,RXD,18,20,ST,Y,,4.14.5.18
Substance Expiration Date ,01130,RXD,19,26,TS,Y,,4.14.5.19
Substance Manufacturer Name ,01131,RXD,20,250,CE,Y,0227,4.14.5.20
Indication ,01123,RXD,21,250,CE,Y,,4.14.5.21
Dispense Package Size ,01220,RXD,22,20,NM,,,4.14.5.22
Dispense Package Size Unit ,01221,RXD,23,250,CE,,,4.14.5.23
Dispense Package Method ,01222,RXD,24,2,ID,,0321,4.14.5.24
Supplementary Code ,01476,RXD,25,250,CE,Y,,4.14.5.25
Initiating Location ,01477,RXD,26,250,CE,,,4.14.5.26
Packaging/Assembly Location ,01478,RXD,27,250,CE,,,4.14.5.27
Actual Drug Strength Volume ,01686,RXD,28,5,NM,,,4.14.5.28
Actual Drug Strength Volume Units ,01687,RXD,29,250,CWE,,,4.14.5.29
Dispense to Pharmacy ,01688,RXD,30,180,CWE,,,4.14.5.30
Dispense to Pharmacy Address ,01689,RXD,31,106,XAD,,,4.14.5.31
Pharmacy Order Type ,01690,RXD,32,1,ID,,0480,4.14.5.32
Dispense Type ,01691,RXD,33,250,CWE,,0484,4.14.5.33
Quantity/Timing ,00221,RXE,1,200,TQ,,,4.14.4.1
Give Code ,00317,RXE,2,250,CE,,0292,4.14.4.2
Give Amount - Minimum ,00318,RXE,3,20,NM,,,4.14.4.3
Give Amount - Maximum ,00319,RXE,4,20,NM,,,4.14.4.4
Give Units ,00320,RXE,5,250,CE,,,4.14.4.5
Give Dosage Form ,00321,RXE,6,250,CE,,,4.14.4.6
Provider's Administration Instructions ,00298,RXE,7,250,CE,Y,,4.14.4.7
Deliver-To Location ,00299,RXE,8,200,LA1,,,4.14.4.8
Substitution Status ,00322,RXE,9,1,ID,,0167,4.14.4.9
Dispense Amount ,00323,RXE,10,20,NM,,,4.14.4.10
Dispense Units ,00324,RXE,11,250,CE,,,4.14.4.11
Number Of Refills ,00304,RXE,12,3,NM,,,4.14.4.12
Ordering Provider's DEA Number ,00305,RXE,13,250,XCN,Y,,4.14.4.13
Pharmacist/Treatment Supplier's Verifier ID ,00306,RXE,14,250,XCN,Y,,4.14.4.14
Prescription Number ,00325,RXE,15,20,ST,,,4.14.4.15
Number of Refills Remaining ,00326,RXE,16,20,NM,,,4.14.4.16
Number of Refills/Doses Dispensed ,00327,RXE,17,20,NM,,,4.14.4.17
D/T of Most Recent Refill or Dose Dispensed ,00328,RXE,18,26,TS,,,4.14.4.18
Total Daily Dose ,00329,RXE,19,10,CQ,,,4.14.4.19
Needs Human Review ,00307,RXE,20,1,ID,,0136,4.14.4.20
Pharmacy/Treatment Supplier's Special Dispensing Instructions,00330,RXE,21,250,CE,Y,,4.14.4.21
Give Per (Time Unit) ,00331,RXE,22,20,ST,,,4.14.4.22
Give Rate Amount ,00332,RXE,23,6,ST,,,4.14.4.23
Give Rate Units ,00333,RXE,24,250,CE,,,4.14.4.24
Give Strength ,01126,RXE,25,20,NM,,,4.14.4.25
Give Strength Units ,01127,RXE,26,250,CE,,,4.14.4.26
Give Indication ,01128,RXE,27,250,CE,Y,,4.14.4.27
Dispense Package Size ,01220,RXE,28,20,NM,,,4.14.4.28
Dispense Package Size Unit ,01221,RXE,29,250,CE,,,4.14.4.29
Dispense Package Method ,01222,RXE,30,2,ID,,0321,4.14.4.30
Supplementary Code ,01476,RXE,31,250,CE,Y,,4.14.4.31
Original Order Date/Time ,01673,RXE,32,26,TS,,,4.14.4.32
Give Drug Strength Volume ,01674,RXE,33,5,NM,,,4.14.4.33
Give Drug Strength Volume Units ,01675,RXE,34,250,CWE,,,4.14.4.34
Controlled Substance Schedule ,01676,RXE,35,60,CWE,,0477,4.14.4.35
Formulary Status ,01677,RXE,36,1,ID,,0478,4.14.4.36
Pharmaceutical Substance Alternative ,01678,RXE,37,60,CWE,Y,,4.14.4.37
Pharmacy of Most Recent Fill ,01679,RXE,38,250,CWE,,,4.14.4.38
Initial Dispense Amount ,01680,RXE,39,250,NM,,,4.14.4.39
Dispensing Pharmacy ,01681,RXE,40,250,CWE,,,4.14.4.40
Dispensing Pharmacy Address ,01682,RXE,41,250,XAD,,,4.14.4.41
Deliver-to Patient Location ,01683,RXE,42,80,PL,,,4.14.4.42
Deliver-to Address ,01684,RXE,43,250,XAD,,,4.14.4.43
Pharmacy Order Type ,01685,RXE,44,1,ID,,0480,4.14.4.44
Give Sub-ID Counter ,00342,RXG,1,4,NM,,,4.14.6.1
Dispense Sub-ID Counter ,00334,RXG,2,4,NM,,,4.14.6.2
Quantity/Timing ,00221,RXG,3,200,TQ,,,4.14.6.3
Give Code ,00317,RXG,4,250,CE,,0292,4.14.6.4
Give Amount - Minimum ,00318,RXG,5,20,NM,,,4.14.6.5
Give Amount - Maximum ,00319,RXG,6,20,NM,,,4.14.6.6
Give Units ,00320,RXG,7,250,CE,,,4.14.6.7
Give Dosage Form ,00321,RXG,8,250,CE,,,4.14.6.8
Administration Notes ,00351,RXG,9,250,CE,Y,,4.14.6.9
Substitution Status ,00322,RXG,10,1,ID,,0167,4.14.6.10
Dispense-to Location ,01303,RXG,11,200,LA2,,,4.14.6.11
Needs Human Review ,00307,RXG,12,1,ID,,0136,4.14.6.12
Pharmacy/Treatment Supplier's Special Administration Instructions,00343,RXG,13,250,CE,Y,,4.14.6.13
Give Per (Time Unit) ,00331,RXG,14,20,ST,,,4.14.6.14
Give Rate Amount ,00332,RXG,15,6,ST,,,4.14.6.15
Give Rate Units ,00333,RXG,16,250,CE,,,4.14.6.16
Give Strength ,01126,RXG,17,20,NM,,,4.14.6.17
Give Strength Units ,01127,RXG,18,250,CE,,,4.14.6.18
Substance Lot Number ,01129,RXG,19,20,ST,Y,,4.14.6.19
Substance Expiration Date ,01130,RXG,20,26,TS,Y,,4.14.6.20
Substance Manufacturer Name ,01131,RXG,21,250,CE,Y,0227,4.14.6.21
Indication ,01123,RXG,22,250,CE,Y,,4.14.6.22
Give Drug Strength Volume ,01692,RXG,23,5,NM,,,4.14.6.23
Give Drug Strength Volume Units ,01693,RXG,24,250,CWE,,,4.14.6.24
Give Barcode Identifier ,01694,RXG,25,60,CWE,,,4.14.6.25
Pharmacy Order Type ,01695,RXG,26,1,ID,,0480,4.14.6.26
Requested Give Code ,00292,RXO,1,250,CE,,,4.14.1.1
Requested Give Amount - Minimum ,00293,RXO,2,20,NM,,,4.14.1.2
Requested Give Amount - Maximum ,00294,RXO,3,20,NM,,,4.14.1.3
Requested Give Units ,00295,RXO,4,250,CE,,,4.14.1.4
Requested Dosage Form ,00296,RXO,5,250,CE,,,4.14.1.5
Provider's Pharmacy/Treatment Instructions ,00297,RXO,6,250,CE,Y,,4.14.1.6
Provider's Administration Instructions ,00298,RXO,7,250,CE,Y,,4.14.1.7
Deliver-To Location ,00299,RXO,8,200,LA1,,,4.14.1.8
Allow Substitutions ,00300,RXO,9,1,ID,,0161,4.14.1.9
Requested Dispense Code ,00301,RXO,10,250,CE,,,4.14.1.10
Requested Dispense Amount ,00302,RXO,11,20,NM,,,4.14.1.11
Requested Dispense Units ,00303,RXO,12,250,CE,,,4.14.1.12
Number Of Refills ,00304,RXO,13,3,NM,,,4.14.1.13
Ordering Provider's DEA Number ,00305,RXO,14,250,XCN,Y,,4.14.1.14
Pharmacist/Treatment Supplier's Verifier ID ,00306,RXO,15,250,XCN,Y,,4.14.1.15
Needs Human Review ,00307,RXO,16,1,ID,,0136,4.14.1.16
Requested Give Per (Time Unit) ,00308,RXO,17,20,ST,,,4.14.1.17
Requested Give Strength ,01121,RXO,18,20,NM,,,4.14.1.18
Requested Give Strength Units ,01122,RXO,19,250,CE,,,4.14.1.19
Indication ,01123,RXO,20,250,CE,Y,,4.14.1.20
Requested Give Rate Amount ,01218,RXO,21,6,ST,,,4.14.1.21
Requested Give Rate Units ,01219,RXO,22,250,CE,,,4.14.1.22
Total Daily Dose ,00329,RXO,23,10,CQ,,,4.14.1.23
Supplementary Code ,01476,RXO,24,250,CE,Y,,4.14.1.24
Requested Drug Strength Volume ,01666,RXO,25,5,NM,,,4.14.1.25
Requested Drug Strength Volume Units ,01667,RXO,26,250,CWE,,,4.14.1.26
Pharmacy Order Type ,01668,RXO,27,1,ID,,0480,4.14.1.27
Dispensing Interval ,01669,RXO,28,20,NM,,,4.14.1.28
Route ,00309,RXR,1,250,CE,,0162,4.14.2.1
Administration Site ,00310,RXR,2,250,CWE,,0163,4.14.2.2
Administration Device ,00311,RXR,3,250,CE,,0164,4.14.2.3
Administration Method ,00312,RXR,4,250,CWE,,0165,4.14.2.4
Routing Instruction ,01315,RXR,5,250,CE,,,4.14.2.5
Administration Site Modifier ,01670,RXR,6,250,CWE,,0495,4.14.2.6
External Accession Identifier ,01329,SAC,1,80,EI,,,13.4.3.1
Accession Identifier ,01330,SAC,2,80,EI,,,13.4.3.2
Container Identifier ,01331,SAC,3,80,EI,,,13.4.3.3
Primary (parent) Container Identifier ,01332,SAC,4,80,EI,,,13.4.3.4
Equipment Container Identifier ,01333,SAC,5,80,EI,,,13.4.3.5
Specimen Source ,00249,SAC,6,300,SPS,,,13.4.3.6
Registration Date/Time ,01334,SAC,7,26,TS,,,13.4.3.7
Container Status ,01335,SAC,8,250,CE,,0370,13.4.3.8
Carrier Type ,01336,SAC,9,250,CE,,0378,13.4.3.9
Carrier Identifier ,01337,SAC,10,80,EI,,,13.4.3.10
Position in Carrier ,01338,SAC,11,80,NA,,,13.4.3.11
Tray Type - SAC ,01339,SAC,12,250,CE,,0379,13.4.3.12
Tray Identifier ,01340,SAC,13,80,EI,,,13.4.3.13
Position in Tray ,01341,SAC,14,80,NA,,,13.4.3.14
Location ,01342,SAC,15,250,CE,Y,,13.4.3.15
Container Height ,01343,SAC,16,20,NM,,,13.4.3.16
Container Diameter ,01344,SAC,17,20,NM,,,13.4.3.17
Barrier Delta ,01345,SAC,18,20,NM,,,13.4.3.18
Bottom Delta ,01346,SAC,19,20,NM,,,13.4.3.19
Container Height/Diameter/Delta Units ,01347,SAC,20,250,CE,,,13.4.3.20
Container Volume ,00644,SAC,21,20,NM,,,13.4.3.21
Available Specimen Volume ,01349,SAC,22,20,NM,,,13.4.3.22
Initial Specimen Volume ,01350,SAC,23,20,NM,,,13.4.3.23
Volume Units ,01351,SAC,24,250,CE,,,13.4.3.24
Separator Type ,01352,SAC,25,250,CE,,0380,13.4.3.25
Cap Type ,01353,SAC,26,250,CE,,0381,13.4.3.26
Additive ,00647,SAC,27,250,CWE,Y,0371,13.4.3.27
Specimen Component ,01355,SAC,28,250,CE,,,13.4.3.28
Dilution Factor ,01356,SAC,29,20,SN,,,13.4.3.29
Treatment ,01357,SAC,30,250,CE,,0373,13.4.3.30
Temperature ,01358,SAC,31,20,SN,,,13.4.3.31
Hemolysis Index ,01359,SAC,32,20,NM,,,13.4.3.32
Hemolysis Index Units ,01360,SAC,33,250,CE,,,13.4.3.33
Lipemia Index ,01361,SAC,34,20,NM,,,13.4.3.34
Lipemia Index Units ,01362,SAC,35,250,CE,,,13.4.3.35
Icterus Index ,01363,SAC,36,20,NM,,,13.4.3.36
Icterus Index Units ,01364,SAC,37,250,CE,,,13.4.3.37
Fibrin Index ,01365,SAC,38,20,NM,,,13.4.3.38
Fibrin Index Units ,01366,SAC,39,250,CE,,,13.4.3.39
System Induced Contaminants ,01367,SAC,40,250,CE,Y,0374,13.4.3.40
Drug Interference ,01368,SAC,41,250,CE,Y,0382,13.4.3.41
Artificial Blood ,01369,SAC,42,250,CE,,0375,13.4.3.42
Special Handling Code ,01370,SAC,43,250,CWE,Y,0376,13.4.3.43
Other Environmental Factors ,01371,SAC,44,250,CE,Y,0377,13.4.3.44
Placer Appointment ID ,00860,SCH,1,75,EI,,,10.6.2.1
Filler Appointment ID ,00861,SCH,2,75,EI,,,10.6.2.2
Occurrence Number ,00862,SCH,3,5,NM,,,10.6.2.3
Placer Group Number ,00218,SCH,4,22,EI,,,10.6.2.4
Schedule ID ,00864,SCH,5,250,CE,,,10.6.2.5
Event Reason ,00883,SCH,6,250,CE,,,10.6.2.6
Appointment Reason ,00866,SCH,7,250,CE,,0276,10.6.2.7
Appointment Type ,00867,SCH,8,250,CE,,0277,10.6.2.8
Appointment Duration ,00868,SCH,9,20,NM,,,10.6.2.9
Appointment Duration Units ,00869,SCH,10,250,CE,,,10.6.2.10
Appointment Timing Quantity ,00884,SCH,11,200,TQ,Y,,10.6.2.11
Placer Contact Person ,00874,SCH,12,250,XCN,Y,,10.6.2.12
Placer Contact Phone Number ,00875,SCH,13,250,XTN,,,10.6.2.13
Placer Contact Address ,00876,SCH,14,250,XAD,Y,,10.6.2.14
Placer Contact Location ,00877,SCH,15,80,PL,,,10.6.2.15
Filler Contact Person ,00885,SCH,16,250,XCN,Y,,10.6.2.16
Filler Contact Phone Number ,00886,SCH,17,250,XTN,,,10.6.2.17
Filler Contact Address ,00887,SCH,18,250,XAD,Y,,10.6.2.18
Filler Contact Location ,00888,SCH,19,80,PL,,,10.6.2.19
Entered By Person ,00878,SCH,20,250,XCN,Y,,10.6.2.20
Entered By Phone Number ,00879,SCH,21,250,XTN,Y,,10.6.2.21
Entered By Location ,00880,SCH,22,80,PL,,,10.6.2.22
Parent Placer Appointment ID ,00881,SCH,23,75,EI,,,10.6.2.23
Parent Filler Appointment ID ,00882,SCH,24,75,EI,,,10.6.2.24
Filler Status Code ,00889,SCH,25,250,CE,,0278,10.6.2.25
Placer Order Number ,00216,SCH,26,22,EI,Y,,10.6.2.26
Filler Order Number ,00217,SCH,27,22,EI,Y,,10.6.2.27
Software Vendor Organization ,01834,SFT,1,567,XON,,,2.15.12.1
Software Certified Version or Release Number,01835,SFT,2,15,ST,,,2.15.12.2
Software Product Name ,01836,SFT,3,20,ST,,,2.15.12.3
Software Binary ID ,01837,SFT,4,20,ST,,,2.15.12.4
Software Product Information ,01838,SFT,5,1024,TX,,,2.15.12.5
Software Install Date ,01839,SFT,6,26,TS,,,2.15.12.6
Application / Method Identifier ,01426,SID,1,250,CE,,,13.4.11.1
Substance Lot Number ,01129,SID,2,20,ST,,,13.4.11.2
Substance Container Identifier ,01428,SID,3,200,ST,,,13.4.11.3
Substance Manufacturer Identifier ,01429,SID,4,250,CE,,0385,13.4.11.4
Set ID - SPM ,01754,SPM,1,4,SI,,,7.4.3.1
Specimen ID ,01755,SPM,2,80,EIP,,,7.4.3.2
Specimen Parent IDs ,01756,SPM,3,80,EIP,Y,,7.4.3.3
Specimen Type ,01900,SPM,4,250,CWE,,0487,7.4.3.4
Specimen Type Modifier ,01757,SPM,5,250,CWE,Y,0541,7.4.3.5
Specimen Additives ,01758,SPM,6,250,CWE,Y,0371,7.4.3.6
Specimen Collection Method ,01759,SPM,7,250,CWE,,0488,7.4.3.7
Specimen Source Site ,01901,SPM,8,250,CWE,,,7.4.3.8
Specimen Source Site Modifier ,01760,SPM,9,250,CWE,Y,0542,7.4.3.9
Specimen Collection Site ,01761,SPM,10,250,CWE,,0543,7.4.3.10
Specimen Role ,01762,SPM,11,250,CWE,Y,0369,7.4.3.11
Specimen Collection Amount ,01902,SPM,12,20,CQ,,,7.4.3.12
Grouped Specimen Count ,01763,SPM,13,6,NM,,,7.4.3.13
Specimen Description ,01764,SPM,14,250,ST,Y,,7.4.3.14
Specimen Handling Code ,01908,SPM,15,250,CWE,Y,0376,7.4.3.15
Specimen Risk Code ,01903,SPM,16,250,CWE,Y,0489,7.4.3.16
Specimen Collection Date/Time ,01765,SPM,17,26,DR,,,7.4.3.17
Specimen Received Date/Time ,00248,SPM,18,26,TS,,,7.4.3.18
Specimen Expiration Date/Time ,01904,SPM,19,26,TS,,,7.4.3.19
Specimen Availability ,01766,SPM,20,1,ID,,0136,7.4.3.20
Specimen Reject Reason ,01767,SPM,21,250,CWE,Y,0490,7.4.3.21
Specimen Quality ,01768,SPM,22,250,CWE,,0491,7.4.3.22
Specimen Appropriateness ,01769,SPM,23,250,CWE,,0492,7.4.3.23
Specimen Condition ,01770,SPM,24,250,CWE,Y,0493,7.4.3.24
Specimen Current Quantity ,01771,SPM,25,20,CQ,,,7.4.3.25
Number of Specimen Containers ,01772,SPM,26,4,NM,,,7.4.3.26
Container Type ,01773,SPM,27,250,CWE,,,7.4.3.27
Container Condition ,01774,SPM,28,250,CWE,,0544,7.4.3.28
Specimen Child Role ,01775,SPM,29,250,CWE,,0494,7.4.3.29
Query Tag ,00696,SPR,1,32,ST,,,5.10.5.5.1
Query/Response Format Code ,00697,SPR,2,1,ID,,0106,5.10.5.5.2
Stored Procedure Name ,00704,SPR,3,250,CE,,,5.10.5.5.3
Input Parameter List ,00705,SPR,4,256,QIP,Y,,5.10.5.5.4
Primary Key Value - STF ,00671,STF,1,250,CE,,9999,15.4.8.1
Staff Identifier List ,00672,STF,2,250,CX,Y,,15.4.8.2
Staff Name ,00673,STF,3,250,XPN,Y,,15.4.8.3
Staff Type ,00674,STF,4,2,IS,Y,0182,15.4.8.4
Administrative Sex ,00111,STF,5,1,IS,,0001,15.4.8.5
Date/Time of Birth ,00110,STF,6,26,TS,,,15.4.8.6
Active/Inactive Flag ,00675,STF,7,1,ID,,0183,15.4.8.7
Department ,00676,STF,8,250,CE,Y,0184,15.4.8.8
Hospital Service - STF ,00677,STF,9,250,CE,Y,0069,15.4.8.9
Phone ,00678,STF,10,250,XTN,Y,,15.4.8.10
Office/Home Address/Birthplace ,00679,STF,11,250,XAD,Y,,15.4.8.11
Institution Activation Date ,00680,STF,12,276,DIN,Y,0537,15.4.8.12
Institution Inactivation Date ,00681,STF,13,276,DIN,Y,0537,15.4.8.13
Backup Person ID ,00682,STF,14,250,CE,Y,,15.4.8.14
E-Mail Address ,00683,STF,15,40,ST,Y,,15.4.8.15
Preferred Method of Contact ,00684,STF,16,250,CE,,0185,15.4.8.16
Marital Status ,00119,STF,17,250,CE,,0002,15.4.8.17
Job Title ,00785,STF,18,20,ST,,,15.4.8.18
Job Code/Class ,00786,STF,19,20,JCC,,,15.4.8.19
Employment Status Code ,01276,STF,20,250,CE,,0066,15.4.8.20
Additional Insured on Auto ,01275,STF,21,1,ID,,0136,15.4.8.21
Driver's License Number - Staff ,01302,STF,22,25,DLN,,,15.4.8.22
Copy Auto Ins ,01229,STF,23,1,ID,,0136,15.4.8.23
Auto Ins. Expires ,01232,STF,24,8,DT,,,15.4.8.24
Date Last DMV Review ,01298,STF,25,8,DT,,,15.4.8.25
Date Next DMV Review ,01234,STF,26,8,DT,,,15.4.8.26
Race ,00113,STF,27,250,CE,,0005,15.4.8.27
Ethnic Group ,00125,STF,28,250,CE,,0189,15.4.8.28
Re-activation Approval Indicator ,01596,STF,29,1,ID,,0136,15.4.8.29
